Payments to suppliers over £500 - April 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,02/04/2020,9678,695.67,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,02/04/2020,9685,713.34,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,02/04/2020,9684,721.91,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,02/04/2020,9681,729.05,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,02/04/2020,9686,733.61,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,02/04/2020,9687,835.16,REDACTED PERSONAL DATA
Norwich City Council,Rough Sleepers,410031,Grants - Special Projects,2725,Grants - Special Projects     ,02/04/2020,9765,"70,560.00",REDACTED PERSONAL DATA
Norwich City Council,GF Capital Expenditure,981000,Vehicles/Plant Eqpmt/Machinery,5300,Vehicles/Plant Eqpmt/Machinery,02/04/2020,6953,"22,502.44",RISUAL LIMITED                          
Norwich City Council,GF Capital Expenditure,981000,Vehicles/Plant Eqpmt/Machinery,5300,Vehicles/Plant Eqpmt/Machinery,02/04/2020,7905,"46,548.00",RISUAL LIMITED                          
Norwich City Council,GF Capital Expenditure,981000,Vehicles/Plant Eqpmt/Machinery,5300,Vehicles/Plant Eqpmt/Machinery,02/04/2020,7905,"48,330.00",RISUAL LIMITED                          
Norwich City Council,Neighbourhood Operations,420150,Projects,2832,Projects                      ,02/04/2020,9040,837,ROBIN TACCHI PLANTS                     
Norwich City Council,Strategy & Development,410070,Projects,2832,Projects                      ,02/04/2020,7586,"194,184.00",ST MARTINS HOUSING TRUST                
Norwich City Council,Estates Management,721020,T V Aerial Mtce,2807,T V Aerial Mtce               ,02/04/2020,9761,"1,351.50",STANLEY SECURITY SOLUTIONS              
Norwich City Council,Customer Contact Team,550010,Miscellaneous Other,2756,Contingency                   ,02/04/2020,9053,"9,500.00",TEXTANYWHERE LIMITED                    
Norwich City Council,Corporate Management,510030,Advertising Staff Recruitment,2030,Advertising Staff Recruitment ,02/04/2020,7906,"3,748.40",TMP (UK) LTD                            
Norwich City Council,Planning Management Account,620010,Professional Advice/Fees,2850,Professional Advice/Fees      ,02/04/2020,9829,"12,718.84",TROWERS & HAMLINS LLP                   
Norwich City Council,GF Capital Expenditure,981000,New Constructn/Convrsn/Renovtn,5100,New Constructn/Convrsn/Renovtn,02/04/2020,9754,"3,521.25",WIREFIELD LTD                           
Norwich City Council,HRA Repairs,730020,External Wall Insulation,2164,External Wall Insulation      ,06/04/2020,9762,"31,495.15",1ST CHOICE INSULATIONS LTD              
Norwich City Council,HRA Repairs,730020,External Wall Insulation,2164,External Wall Insulation      ,06/04/2020,9762,"38,089.65",1ST CHOICE INSULATIONS LTD              
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9739,797.32,ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9740,"2,138.47",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9738,"2,526.64",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Capital Expenditure,983000,Door Access Controls,5160, Door Access Controls         ,06/04/2020,9758,"3,086.46",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9733,"3,429.82",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9756,"3,611.24",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9742,"3,774.69",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Repairs,730020,Landlords Lighting Gen Repairs,2128,Landlords Lighting Gen Repairs,06/04/2020,9743,"3,828.71",ALPHATRACK SYSTEMS LTD                  
